"","label","timeest","eest","ICC","ICC_lower95CI","ICC_higher95CI","ICC2","ICC2_lower95CI","ICC2_higher95CI","delta_CFI"
"28","lh_superiorparietal",0.645113873262749,0.0448434024110584,0.935005537310604,0.923935640752259,0.943163507924846,0.96641129231428,0.961137384166484,0.971172433724136,0.00209101401851308
"29","lh_superiortemporal",0.305958100036852,0.0131302574165917,0.958850716079456,0.95492583866104,0.963231957579682,0.978993343285135,0.977339417648392,0.981099962856899,0
"30","lh_supramarginal",0.647121279828251,0.0332900296570645,0.951073667952042,0.94542864347938,0.955783628294898,0.974923377512839,0.970791736297907,0.978007762504796,0.0015126933833447
"31","lh_frontalpole",0.00134426716481944,0.000246747536898436,0.844911843597665,0.836395591651734,0.852030903718892,0.915868695787151,0.911720417153576,0.919944086529485,0.000247818809003597
"32","lh_temporalpole",0.0039685126871838,0.000781842943937671,0.835413808007235,0.825387286439587,0.843663519136867,0.910335627810704,0.904839374999113,0.915638531435298,-1.4432899320127e-15
"33","lh_transversetemporal",0.00527425543745334,0.000276684505877468,0.950155377521263,0.941994894767655,0.955509805539379,0.97444498722848,0.969573632795608,0.977080889852204,0.000399234497935552
"34","lh_insula",0.0636705129679814,0.0120111916723689,0.841293325388908,0.830264085831801,0.850831274346368,0.913809294393305,0.909795285128106,0.918779682407063,-2.22044604925031e-15
"35","rh_bankssts",0.0253302239430226,0.00135165328020866,0.949341897164874,0.945390430199024,0.953873089789684,0.974021588562428,0.971497246434823,0.975970352317543,0.000442583045706657
"36","rh_caudalanteriorcingulate",0.0273584725877934,0.00100919611598727,0.964424425336976,0.959956469641341,0.968113242570923,0.981894460965152,0.979870648466082,0.983993127231584,0.002031956579709
"37","rh_caudalmiddlefrontal",0.180673735463174,0.0184998947410182,0.907116746719673,0.896887281380035,0.915842357223269,0.951296998342884,0.94603718872311,0.956638636458778,0.000297710186845324
"38","rh_cuneus",0.0524503779923777,0.00220488320022453,0.959658353978867,0.953144502750552,0.964339766726344,0.979415363648504,0.976450803416494,0.982342266824179,0.000431582301944289
"39","rh_entorhinal",0.00671848999681636,0.000937664461796804,0.877528011371044,0.870608775227183,0.884915828742246,0.934773918837903,0.930195001543495,0.93989458371319,0
"40","rh_fusiform",0.161653683536022,0.00431865878911969,0.973979647882179,0.971304255249839,0.97611729834097,0.986818752763976,0.985378563803941,0.988054385082157,0.000776508922211039
"41","rh_inferiorparietal",0.827221892250201,0.0357808038478448,0.958539174895255,0.954875885584694,0.961861796855053,0.978830790713227,0.977185568162356,0.980773046589414,0.000596837509789894
"42","rh_inferiortemporal",0.229175606712016,0.00790137203940871,0.966671702663744,0.962585971734023,0.970008096235066,0.983053578348371,0.981342699668349,0.984709736237192,0.000977308722248438
"43","rh_isthmuscingulate",0.0226319165090218,0.00179613917108061,0.926472282747266,0.883381761012143,0.951305658186847,0.961839661742534,0.945657211761302,0.973513035277654,0.00239654889055452
"44","rh_lateraloccipital",0.520553213302517,0.0150869909391217,0.97183372192817,0.96722000852549,0.976269895124645,0.985715710064904,0.983304209776059,0.988158069207226,-1.22124532708767e-15
"45","rh_lateralorbitofrontal",0.111276012484164,0.018730714201662,0.855925038041097,0.847660761149495,0.86346550828746,0.922370389805393,0.916951898950622,0.926213753706805,0.000503792625113131
"46","rh_lingual",0.200013768655689,0.00544871041454338,0.973480752110068,0.968179614833416,0.978054045195904,0.986563201791731,0.984055173695961,0.98854071724294,0.000155753374235235
"47","rh_medialorbitofrontal",0.0515788319816731,0.00722393081157367,0.877149806090347,0.869460060090899,0.882878688208341,0.934556622169702,0.930301709411202,0.938223432570351,9.88670521059332e-05
"48","rh_middletemporal",0.265145445563381,0.0108669816153389,0.960628650940045,0.957430781234592,0.963834737523983,0.979919595238995,0.978273822430657,0.981878347060347,-6.66133814775094e-16
"49","rh_parahippocampal",0.00701738956621107,0.000670925182026406,0.912734428285443,0.906644893406883,0.919229077096908,0.954377808313111,0.951216079280867,0.958030022511882,6.56438363277889e-06
