"","ROI","model","npar","fmin","chisq","df","pvalue","baseline.chisq","baseline.df","baseline.pvalue","cfi","tli","nnfi","rfi","nfi","pnfi","ifi","rni","logl","unrestricted.logl","aic","bic","ntotal","bic2","rmsea","rmsea.ci.lower","rmsea.ci.upper","rmsea.pvalue","rmr","rmr_nomean","srmr","srmr_bentler","srmr_bentler_nomean","crmr","crmr_nomean","srmr_mplus","srmr_mplus_nomean","cn_05","cn_01","gfi","agfi","pgfi","mfi"
"217","lh_medialorbitofrontal","unconstrained","84","0.00159223087221303","24.7241609837239","21","0.259308473577521","4302.96112999044","21","0","0.999130267447399","0.999130267447399","0.999130267447399","0.994254151911482","0.994254151911482","0.994254151911482","0.999130267447399","0.999130267447399","12604.1963516945","12616.5584321864","-25040.392703389","-24455.9834560687","7764","-24722.9183422737","0.0219013789465038","0","0.051213260749345","0.940780199365751","0.000348060824700888","0.000449344592511252","0.0218277964286955","0.0218277964286955","0.0281795640175811","0.292426127445925","0.000598693556887412","0.227566421991066","0.0281826925153841","10260.3706450085","12226.668200179","0.999993779561799","0.999968897808995","0.19999875591236","0.999760193558283"
"218","lh_middletemporal","unconstrained","84","0.00572227447311328","88.8554780185031","21","2.54091303553139e-10","8895.10390321042","21","0","0.99235354028321","0.99235354028321","0.99235354028321","0.99001074310257","0.99001074310257","0.99001074310257","0.992353540283211","0.99235354028321","12540.9508642263","12585.3786032355","-24913.9017284525","-24329.4924811323","7764","-24596.4273673373","0.0934866707159843","0.0739231325991404","0.113965343881238","0.00022037290072785","0.000938403283576989","0.00121147342977334","0.0338815070980705","0.0338815070980705","0.0437408375784118","0.416274557770193","0.00182857542721187","0.324311779933692","0.0437567484813421","2855.68422516461","3402.80926888801","0.999971476994758","0.999857384973792","0.199994295398952","0.995639655227016"
"219","lh_parahippocampal","unconstrained","84","0.00171699359541057","26.6614765495353","21","0.182341142075885","13437.0882826379","21","0","0.99957800840079","0.99957800840079","0.99957800840079","0.998015829323382","0.998015829323382","0.998015829323382","0.99957800840079","0.99957800840079","7042.68556698591","7056.01630526067","-13917.3711339718","-13332.9618866515","7764","-13599.8967728565","0.0270036265370679","0","0.0545145244999072","0.908080625100261","0.00071139040390526","0.000918401062325613","0.0126653162979856","0.0126653162979856","0.0163508530321825","0.0979747845198553","0.00027965921130883","0.076942771089366","0.0163519391106622","9514.8891106653","11338.3086503001","0.999977125208622","0.999885626043112","0.199995425041725","0.999635468534669"
"220","lh_paracentral","unconstrained","84","0.00263813981544931","40.9650350542969","21","0.00566318532887866","8329.59876673459","21","0","0.997597063522404","0.997597063522404","0.997597063522404","0.995081991797985","0.995081991797985","0.995081991797985","0.997597063522404","0.997597063522404","13503.424736987","13523.9072545141","-26838.8494739739","-26254.4402266537","7764","-26521.3751128587","0.0507098440761843","0.0267979545055568","0.0736679527066358","0.447736613015188","0.000431974127528282","0.000557676200636505","0.0234531315962956","0.0234531315962956","0.030277862696288","0.305358468172639","0.000805863102835208","0.237695273336027","0.0302826258780747","6192.97154555531","7379.71671082858","0.999988462960066","0.99994231480033","0.199997692592013","0.998715082071747"
"221","lh_parsopercularis","unconstrained","84","0.00281028668821058","43.6381316945338","21","0.00260374646685912","7982.13399376951","21","0","0.997156418707153","0.997156418707153","0.997156418707153","0.994533024410691","0.994533024410691","0.994533024410691","0.997156418707153","0.997156418707153","15224.2589453519","15246.0780111992","-30280.5178907039","-29696.1086433836","7764","-29963.0435295886","0.0539979817377784","0.0309923773778476","0.0766121270835167","0.356349227621562","0.000389772608215075","0.000503194273474938","0.0250208776104943","0.0250208776104943","0.0323018140976461","0.369872286720836","0.000935803151766097","0.28760484613029","0.0323073786697909","5813.67624366822","6927.72616762558","0.999990855798302","0.999954278991511","0.19999817115966","0.998543171190974"
"222","lh_parsorbitalis","unconstrained","84","0.00449658057802156","69.8229032155188","21","3.751293610188e-07","8124.18289288453","21","0","0.993974848666147","0.993974848666147","0.993974848666147","0.991405547593387","0.991405547593387","0.991405547593387","0.993974848666147","0.993974848666147","9854.97882883361","9889.89028044137","-19541.9576576672","-18957.548410347","7764","-19224.483296552","0.0792992421866402","0.0591781150788348","0.100269020868442","0.00966640035592747","0.000818315318959292","0.00105644053409192","0.0299101102491409","0.0299101102491409","0.0386137862927168","0.347242083619038","0.0013404504329972","0.270637672167548","0.0386228899063862","3633.82418429294","4330.0865145183","0.999975908233245","0.999879541166226","0.199995181646649","0.996860752867227"
"223","lh_parstriangularis","unconstrained","84","0.00353928251507289","54.9579788940518","21","7.169638104354e-05","7563.74105918887","21","0","0.995497925935999","0.995497925935999","0.995497925935999","0.992734021635063","0.992734021635063","0.992734021635063","0.995497925935999","0.995497925935999","13941.3153995833","13968.7943890303","-27714.6307991665","-27130.2215518462","7764","-27397.1564380513","0.0661345120604823","0.0450380212395195","0.087786619796622","0.0991066997409463","0.00049200991625807","0.000635182070612136","0.0274376469203976","0.0274376469203976","0.0354218498606064","0.359386607881597","0.00128214651692964","0.279738327018221","0.0354329657961192","4616.4232110296","5501.00918515462","0.999985798547543","0.999928992737714","0.199997159709509","0.997815502652123"
"224","lh_pericalcarine","unconstrained","84","0.00230654086838256","35.8159666042445","21","0.0229288102558346","8801.12547191068","21","0","0.998312556392088","0.998312556392088","0.998312556392088","0.995930524258681","0.995930524258681","0.995930524258681","0.998312556392088","0.998312556392088","13061.5451505799","13079.453133882","-25955.0903011597","-25370.6810538394","7764","-25637.6159400445","0.0436839832444047","0.0162901504024244","0.0675465800240017","0.637679628329298","0.000391898324422642","0.000505938561298495","0.0205784542961688","0.0205784542961688","0.0265666702599174","0.17422949123897","0.000634625423906223","0.136522884153009","0.0265698838103988","7083.15791637526","8440.51503682152","0.99997644060895","0.999882203044752","0.19999528812179","0.999046309855739"
"225","lh_postcentral","unconstrained","84","0.00543001190718656","84.3172248947929","21","1.51403656278859e-09","9033.19631511371","21","0","0.992974273675263","0.992974273675263","0.992974273675263","0.990665848282992","0.990665848282992","0.990665848282992","0.992974273675263","0.992974273675263","14621.5510881222","14663.7097005696","-29075.1021762444","-28490.6929289242","7764","-28757.6278151292","0.0903063257457938","0.0706444383825276","0.110879160570259","0.000580813794616053","0.000530520960675479","0.00068489961517003","0.0325856305627063","0.0325856305627063","0.0420678681650096","0.373503629362846","0.00168903000960437","0.291155429262661","0.0420808914749941","3009.33348981042","3585.90675057174","0.999970452063263","0.999852260316317","0.199994090412653","0.995930685954013"
"226","lh_posteriorcingulate","unconstrained","84","0.00189457248904001","29.4189216098133","21","0.104301711023522","11099.1732179906","21","0","0.999240044234356","0.999240044234356","0.999240044234356","0.997349449275904","0.997349449275904","0.997349449275904","0.999240044234356","0.999240044234356","16160.0890328496","16174.7984936545","-32152.1780656992","-31567.7688183789","7764","-31834.7037045839","0.0329295252533698","0","0.0588220599572104","0.845118093548245","0.000231660001662566","0.0002990717761405","0.015354003207542","0.015354003207542","0.0198219329068085","0.209129295237115","0.000465945228538339","0.162719053221235","0.0198243524393117","8623.14919986293","10275.6590348842","0.999992180020744","0.999960900103722","0.199998436004149","0.999457970134585"
