"","comparison","ROI","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"221","uncon_v_timecon","lh_posteriorcingulate",74.2609925546343,38.2006199699083,0.008368799379255,"sig"
"321","timecon_v_con","lh_posteriorcingulate",1853.01828828836,1778.75729573373,0,"sig"
"521","uncon_v_errcon","lh_posteriorcingulate",1815.12536781049,1779.06499522576,0,"sig"
"621","errcon_v_con","lh_posteriorcingulate",1853.01828828836,37.8929204778735,0.00912612215424871,"sig"
"821","uncon_v_con","lh_posteriorcingulate",1853.01828828836,1816.95791570364,0,"sig"
"122","uncon","lh_precentral",68.1727825141049,NA,NA,NA
"222","uncon_v_timecon","lh_precentral",103.576427535671,35.4036450215666,0.0180568936072454,"sig"
"322","timecon_v_con","lh_precentral",3128.37935047185,3024.80292293618,0,"sig"
"522","uncon_v_errcon","lh_precentral",3064.54975359607,2996.37697108197,0,"sig"
"622","errcon_v_con","lh_precentral",3128.37935047185,63.829596875778,1.79052932281462e-06,"sig"
"822","uncon_v_con","lh_precentral",3128.37935047185,3060.20656795774,0,"sig"
"123","uncon","lh_precuneus",27.7629961140654,NA,NA,NA
"223","uncon_v_timecon","lh_precuneus",54.703147494972,26.9401513809066,0.136956204329959,"nonsig"
"323","timecon_v_con","lh_precuneus",738.810698250432,684.10755075546,5.08820157142889e-132,"sig"
"523","uncon_v_errcon","lh_precuneus",710.617574110968,682.854577996903,9.36482920197067e-132,"sig"
"623","errcon_v_con","lh_precuneus",738.810698250432,28.193124139464,0.10490596662358,"nonsig"
"823","uncon_v_con","lh_precuneus",738.810698250432,711.047702136367,1.00726850102634e-123,"sig"
"124","uncon","lh_rostralanteriorcingulate",26.4018505630123,NA,NA,NA
"224","uncon_v_timecon","lh_rostralanteriorcingulate",46.2910103048641,19.8891597418518,0.464882255785378,"nonsig"
"324","timecon_v_con","lh_rostralanteriorcingulate",249.489615549335,203.198605244471,2.61863417542365e-32,"sig"
"524","uncon_v_errcon","lh_rostralanteriorcingulate",229.971274175089,203.569423612077,2.21107735773955e-32,"sig"
"624","errcon_v_con","lh_rostralanteriorcingulate",249.489615549335,19.5183413742453,0.488398624140414,"nonsig"
"824","uncon_v_con","lh_rostralanteriorcingulate",249.489615549335,223.087764986322,2.84211564689299e-27,"sig"
"125","uncon","lh_rostralmiddlefrontal",37.8591155085225,NA,NA,NA
"225","uncon_v_timecon","lh_rostralmiddlefrontal",49.2876649031823,11.4285493946597,0.934343085928866,"nonsig"
"325","timecon_v_con","lh_rostralmiddlefrontal",1628.95230918495,1579.66464428177,2.96439387504748e-323,"sig"
"525","uncon_v_errcon","lh_rostralmiddlefrontal",1615.33405337849,1577.47493786997,9.38724727098368e-323,"sig"
"625","errcon_v_con","lh_rostralmiddlefrontal",1628.95230918495,13.618255806455,0.849311965997008,"nonsig"
"825","uncon_v_con","lh_rostralmiddlefrontal",1628.95230918495,1591.09319367643,3.43985037420642e-308,"sig"
"126","uncon","lh_superiorfrontal",50.099516368603,NA,NA,NA
"226","uncon_v_timecon","lh_superiorfrontal",73.7223124960185,23.6227961274156,0.259257508778581,"nonsig"
"326","timecon_v_con","lh_superiorfrontal",2031.73641360318,1958.01410110716,0,"sig"
"526","uncon_v_errcon","lh_superiorfrontal",2003.32597880689,1953.22646243829,0,"sig"
"626","errcon_v_con","lh_superiorfrontal",2031.73641360318,28.4104347962843,0.100033968693314,"nonsig"
"826","uncon_v_con","lh_superiorfrontal",2031.73641360318,1981.63689723457,0,"sig"
"127","uncon","lh_superiorparietal",45.3855164689571,NA,NA,NA
"227","uncon_v_timecon","lh_superiorparietal",86.2504195732173,40.8649031042602,0.00387688565741151,"sig"
